function|id|phase|cpu_user|cpu_system|cpu_child_user|cpu_child_sys|iowait|io_read_count|io_write_count|io_read_bytes|io_write_bytes|io_read_chars|io_write_chars|ctx_voluntary|ctx_involuntary|mem_rss|mem_vms|mem_shared|mem_text|mem_lib|mem_data|mem_dirty|mem_uss|mem_pss|mem_swap|net_bytes_sent|net_bytes_recv|net_packets_sent|net_packets_recv|net_errin|net_errout|net_dropin|net_dropout|create_time|node
mapper|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|28672|6610944|0|3264512|0|753664|0|57344|70656|0|2445|4487|15|25|0|0|0|0|1655452650.18|wn3.localdomain
mapper|0_0|end|151.83|33.27|0.03|0.03|0.0|1210404|500|0|331776|4696135719|331612|589|27429|442626048|1211097088|224120832|3264512|0|503566336|0|224301056|278337536|0|41890951|4758396638|630985|992834|0|0|0|0|0|wn3.localdomain
mapper|10_10|start|0.0|0.0|0.0|0.0|0.0|6|0|0|0|2524|0|0|0|28672|6651904|0|3264512|0|761856|0|131072|171008|0|2451|4293|15|22|0|0|0|0|1655452649.35|wn1.localdomain
mapper|10_10|end|193.28|31.73|0.03|0.03|0.0|1216050|503|0|90112|4673541049|89844|506|18912|566849536|1370443776|221523968|3264512|0|662941696|0|352849920|458175488|0|45611549|4764436294|686485|1426308|0|0|0|0|0|wn1.localdomain
mapper|11_11|start|0.0|0.0|0.0|0.0|0.0|6|0|0|0|2524|0|0|0|28672|6619136|0|3264512|0|761856|0|122880|157696|0|2451|4244|15|21|0|0|0|0|1655452649.85|wn2.localdomain
mapper|11_11|end|177.5|32.32|0.02|0.04|0.0|1276928|500|0|90112|4669531083|89796|575|14835|575500288|1378238464|219938816|3264512|0|670748672|0|356425728|387962880|0|47233124|4760005806|712138|1420363|0|0|0|0|0|wn2.localdomain
mapper|12_12|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|28672|6610944|0|3264512|0|753664|0|40960|40960|0|2449|4335|15|23|0|0|0|0|1655452650.43|wn6.localdomain
mapper|12_12|end|154.17|35.41|0.02|0.04|0.0|1265033|497|0|90112|4696129368|89748|583|27796|568672256|1371967488|223621120|3264512|0|664477696|0|345595904|378031104|0|43040610|4759179743|648852|1004787|0|0|0|0|0|wn6.localdomain
mapper|13_13|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|28672|6610944|0|3264512|0|753664|0|45056|49152|0|2383|4487|14|25|0|0|0|0|1655452650.94|wn3.localdomain
mapper|13_13|end|152.31|33.4|0.04|0.02|0.0|1202188|496|0|90112|4666087364|89732|572|21827|570015744|1370386432|224751616|3264512|0|662896640|0|345829376|419621888|0|41573525|4727948223|625952|987525|0|0|0|0|0|wn3.localdomain
