function|id|phase|cpu_user|cpu_system|cpu_child_user|cpu_child_sys|iowait|io_read_count|io_write_count|io_read_bytes|io_write_bytes|io_read_chars|io_write_chars|ctx_voluntary|ctx_involuntary|mem_rss|mem_vms|mem_shared|mem_text|mem_lib|mem_data|mem_dirty|mem_uss|mem_pss|mem_swap|net_bytes_sent|net_bytes_recv|net_packets_sent|net_packets_recv|net_errin|net_errout|net_dropin|net_dropout|create_time|node
mapper|0_0|start|0.0|0.0|0.0|0.0|0.0|6|0|0|0|2524|0|0|0|8192|7577600|0|3264512|0|741376|0|139264|221184|0|2447|6415|15|22|0|0|0|0|1655432004.53|wn1.localdomain
mapper|0_0|end|2587.21|75.75|0.01|0.04|0.0|10062612|15467|0|331776|74885060648|3551815|38419|67608|685629440|4845932544|216932352|3264512|0|4465598464|0|678985728|681822208|0|197275569|75371375212|2856486|3934135|0|0|0|0|0|wn1.localdomain
mapper|1_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|8192|6590464|0|3264512|0|733184|0|36864|72704|0|2511|6415|16|22|0|0|0|0|1655432005.65|wn6.localdomain
mapper|1_1|end|1961.05|113.2|0.01|0.04|0.0|10390575|15479|0|331776|74904883288|3554701|47093|45783|0|0|0|0|0|0|0|678522880|681422848|0|270087801|75637472581|3952299|5385996|0|0|0|0|0|wn6.localdomain
mapper|2_2|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|495616|7577600|446464|3264512|0|749568|0|143360|249856|0|2513|6408|16|22|0|0|0|0|1655432005.33|wn2.localdomain
mapper|2_2|end|2351.38|78.32|0.01|0.03|0.0|10046318|15472|0|90112|74909494041|3311881|39057|45460|842788864|5017210880|217894912|3264512|0|4636778496|0|836341760|839162880|0|204146932|75444519191|2950034|4084024|0|0|0|0|0|wn2.localdomain
reducer|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|8192|6590464|0|3264512|0|733184|0|32768|68608|0|4541|247529|45|52|0|0|0|0|1655434943.76|wn6.localdomain
reducer|0_0|end|0.72|0.17|0.03|0.02|0.0|1239|492|0|53248|3516687|55739|298|12|310890496|448757760|205029376|3264512|0|116641792|0|304287744|307079168|0|11074|497241|98|103|0|0|0|0|0|wn6.localdomain
reducer|0_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|1|0|479232|7577600|434176|3264512|0|741376|0|139264|239616|0|4603|247728|47|55|0|0|0|0|1655434948.46|wn1.localdomain
reducer|0_1|end|1.22|0.16|0.03|0.03|0.0|1195|492|0|53248|3516687|55739|240|32|312578048|452009984|203436032|3264512|0|119894016|0|306061312|308898816|0|10170|496516|85|92|0|0|0|0|0|wn1.localdomain
reducer|0_2|start|0.0|0.0|0.0|0.0|0.0|13|0|0|0|6704|0|0|0|581632|10162176|499712|3264512|0|856064|0|208896|389120|0|4591|247662|47|54|0|0|0|0|1655434954.74|wn2.localdomain
reducer|0_2|end|0.75|0.17|0.02|0.02|0.0|868|410|0|0|2689952|21322|220|53|266166272|334323712|180613120|3264512|0|89055232|0|259653632|262402048|0|7178|252144|59|64|0|0|0|0|0|wn2.localdomain
reducer|1_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|8192|6590464|0|3264512|0|733184|0|36864|78848|0|4691|247727|48|55|0|0|0|0|1655434359.47|wn3.localdomain
reducer|1_1|end|0.33|0.11|0.02|0.01|0.0|897|410|0|0|2676420|21322|261|8|239857664|314671104|173113344|3264512|0|69476352|0|233299968|236068864|0|7935|253176|61|67|0|0|0|0|0|wn3.localdomain
reducer|2_2|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|8192|6631424|0|3264512|0|741376|0|106496|184320|0|4877|247925|51|58|0|0|0|0|1655434702.95|wn5.localdomain
reducer|2_2|end|0.28|0.16|0.01|0.02|0.0|904|410|0|0|2676420|21322|257|12|235618304|309391360|173838336|3264512|0|64196608|0|228995072|231740416|0|8121|253308|64|69|0|0|0|0|0|wn5.localdomain
