function|id|phase|cpu_user|cpu_system|cpu_child_user|cpu_child_sys|iowait|io_read_count|io_write_count|io_read_bytes|io_write_bytes|io_read_chars|io_write_chars|ctx_voluntary|ctx_involuntary|mem_rss|mem_vms|mem_shared|mem_text|mem_lib|mem_data|mem_dirty|mem_uss|mem_pss|mem_swap|net_bytes_sent|net_bytes_recv|net_packets_sent|net_packets_recv|net_errin|net_errout|net_dropin|net_dropout|create_time|node
mapper|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|1|36864|6619136|0|3264512|0|761856|0|65536|89088|0|2379|4045|14|24|0|0|0|0|1655475379.37|wn3.localdomain
mapper|0_0|end|76.08|0.43|0.05|0.02|0.0|1173|494|0|98304|3324765|96282|296|1751|390037504|517111808|216969216|3264512|0|184672256|0|173629440|245665792|0|5511|10944|37|46|0|0|0|0|0|wn3.localdomain
mapper|10_10|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6627328|0|3264512|0|770048|0|131072|154624|0|2385|3786|14|21|0|0|0|0|1655475377.86|wn4.localdomain
mapper|10_10|end|195.88|0.88|0.02|0.05|0.0|1126|494|0|98304|3324768|96284|255|7674|386953216|517115904|213880832|3264512|0|184672256|0|174776320|245446656|0|6297|11591|51|60|0|0|0|0|0|wn4.localdomain
mapper|11_11|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6619136|0|3264512|0|761856|0|65536|79872|0|2449|3786|15|21|0|0|0|0|1655475378.99|wn6.localdomain
mapper|11_11|end|168.17|0.64|0.05|0.02|0.0|1219|494|0|98304|3324768|96284|320|6136|390635520|517115904|217513984|3264512|0|184680448|0|173285376|245448704|0|6103|11249|47|53|0|0|0|0|0|wn6.localdomain
mapper|12_12|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6619136|0|3264512|0|761856|0|53248|53248|0|2449|3938|15|23|0|0|0|0|1655475379.51|wn3.localdomain
mapper|12_12|end|178.51|0.57|0.03|0.03|0.0|1127|492|0|90112|3324768|89668|220|7116|389607424|517079040|216965120|3264512|0|184688640|0|383029248|385920000|0|6253|12559|50|82|0|0|0|0|0|wn3.localdomain
mapper|13_13|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6619136|0|3264512|0|761856|0|65536|73728|0|2451|3786|15|21|0|0|0|0|1655475378.76|wn4.localdomain
mapper|13_13|end|222.14|0.69|0.03|0.03|0.0|1182|492|0|90112|3324768|89668|294|6318|386646016|517083136|213925888|3264512|0|184688640|0|179519488|281417728|0|6663|11849|58|65|0|0|0|0|0|wn4.localdomain
mapper|14_14|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|516096|7606272|442368|3264512|0|778240|0|167936|193536|0|2383|3786|14|21|0|0|0|0|1655475380.17|wn6.localdomain
