function|id|time|cpu_percent|mem_percent|node
mapper|0_0|0.0|0.0|5.597144759639014e-05|wn3.localdomain
mapper|0_0|0.5|89.8|0.38299395875289893|wn3.localdomain
mapper|0_0|1.0|86.9|0.4796068963540012|wn3.localdomain
mapper|0_0|1.5|96.6|0.5301304563843428|wn3.localdomain
mapper|0_0|2.0|96.5|0.541312307804155|wn3.localdomain
mapper|0_0|2.5|96.8|0.5582467802269294|wn3.localdomain
mapper|0_0|3.0|95.6|0.5885895238739057|wn3.localdomain
mapper|0_0|3.5|96.6|0.5885895238739057|wn3.localdomain
mapper|0_0|4.0|98.6|0.5908283817777614|wn3.localdomain
mapper|0_0|4.5|94.7|0.591238839060135|wn3.localdomain
mapper|0_0|5.0|98.6|0.591238839060135|wn3.localdomain
mapper|0_0|5.5|96.7|0.591238839060135|wn3.localdomain
mapper|0_0|6.0|96.6|0.591238839060135|wn3.localdomain
mapper|0_0|6.5|96.6|0.591238839060135|wn3.localdomain
mapper|0_0|7.0|95.8|0.591238839060135|wn3.localdomain
mapper|0_0|7.5|95.9|0.591238839060135|wn3.localdomain
mapper|0_0|8.0|96.6|0.591238839060135|wn3.localdomain
mapper|0_0|8.5|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|9.0|95.7|0.591238839060135|wn3.localdomain
mapper|0_0|9.5|96.2|0.591238839060135|wn3.localdomain
mapper|0_0|10.0|96.2|0.591238839060135|wn3.localdomain
mapper|0_0|10.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|11.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|11.5|96.2|0.591238839060135|wn3.localdomain
mapper|0_0|12.0|98.2|0.591238839060135|wn3.localdomain
mapper|0_0|12.5|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|13.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|13.5|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|14.0|96.5|0.591238839060135|wn3.localdomain
mapper|0_0|14.5|94.3|0.591238839060135|wn3.localdomain
mapper|0_0|15.0|96.3|0.591238839060135|wn3.localdomain
mapper|0_0|15.5|98.0|0.591238839060135|wn3.localdomain
mapper|0_0|16.0|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|16.5|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|17.0|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|17.5|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|18.0|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|18.5|95.9|0.591238839060135|wn3.localdomain
mapper|0_0|19.0|94.1|0.591238839060135|wn3.localdomain
mapper|0_0|19.5|97.9|0.591238839060135|wn3.localdomain
mapper|0_0|20.0|96.0|0.591238839060135|wn3.localdomain
mapper|0_0|20.5|94.0|0.591238839060135|wn3.localdomain
mapper|0_0|21.0|96.0|0.591238839060135|wn3.localdomain
