function|id|phase|cpu_user|cpu_system|cpu_child_user|cpu_child_sys|iowait|io_read_count|io_write_count|io_read_bytes|io_write_bytes|io_read_chars|io_write_chars|ctx_voluntary|ctx_involuntary|mem_rss|mem_vms|mem_shared|mem_text|mem_lib|mem_data|mem_dirty|mem_uss|mem_pss|mem_swap|net_bytes_sent|net_bytes_recv|net_packets_sent|net_packets_recv|net_errin|net_errout|net_dropin|net_dropout|create_time|node
mapper|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6619136|0|3264512|0|761856|0|57344|69632|0|2445|3919|15|21|0|0|0|0|1655476014.64|wn3.localdomain
mapper|0_0|end|280.59|0.59|0.02|0.04|0.0|1201|492|0|90112|3324765|89668|304|8992|389935104|517062656|217341952|3264512|0|184676352|0|383328256|386337792|0|6795|11994|59|63|0|0|0|0|0|wn3.localdomain
mapper|1_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6619136|0|3264512|0|761856|0|49152|49152|0|2445|3612|15|18|0|0|0|0|1655476014.34|wn6.localdomain
mapper|1_1|end|310.96|0.78|0.04|0.02|0.0|1188|492|0|90112|3324768|89668|302|10251|388861952|517062656|216387584|3264512|0|184676352|0|178753536|282140672|0|7137|12119|66|68|0|0|0|0|0|wn6.localdomain
mapper|2_2|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6619136|0|3264512|0|761856|0|53248|59392|0|2445|3702|15|19|0|0|0|0|1655476014.21|wn5.localdomain
mapper|2_2|end|343.73|0.87|0.03|0.03|0.0|1151|492|0|90112|3324768|89668|285|22294|390701056|517066752|217927680|3264512|0|184672256|0|180420608|283714560|0|7143|12125|65|67|0|0|0|0|0|wn5.localdomain
mapper|3_3|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6619136|0|3264512|0|761856|0|61440|75776|0|2447|3702|15|19|0|0|0|0|1655476014.64|wn2.localdomain
mapper|3_3|end|400.77|0.79|0.03|0.03|0.0|1180|494|0|98304|3324768|96282|304|11722|387166208|517087232|214286336|3264512|0|184668160|0|380932096|383719424|0|7703|12683|76|78|0|0|0|0|0|wn2.localdomain
reducer|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6619136|0|3264512|0|761856|0|61440|94208|0|2587|8426|17|23|0|0|0|0|1655476310.1|wn1.localdomain
reducer|0_0|end|0.77|0.15|0.01|0.02|0.0|910|410|0|0|2692448|21322|228|18|268451840|337977344|181948416|3264512|0|89870336|0|262246400|265061376|0|5897|13809|31|34|0|0|0|0|0|wn1.localdomain
reducer|0_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6619136|0|3264512|0|761856|0|69632|103424|0|2587|8066|17|22|0|0|0|0|1655476347.12|wn1.localdomain
reducer|0_1|end|0.79|0.13|0.02|0.01|0.0|1055|424|0|28672|3128499|40526|240|14|276074496|342253568|184672256|3264512|0|94052352|0|269336576|272143360|0|5831|13605|30|35|0|0|0|0|0|wn1.localdomain
reducer|0_3|start|0.0|0.0|0.0|0.0|0.0|6|0|0|0|2524|0|0|0|36864|6660096|0|3264512|0|770048|0|135168|212992|0|2587|8066|17|22|0|0|0|0|1655476446.47|wn2.localdomain
reducer|0_3|end|0.78|0.14|0.03|0.01|0.0|1008|422|0|28672|3127664|39581|226|20|278024192|342847488|186269696|3264512|0|94646272|0|271564800|274324480|0|5174|12638|29|33|0|0|0|0|0|wn2.localdomain
reducer|1_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6619136|0|3264512|0|761856|0|65536|101376|0|2585|8426|17|23|0|0|0|0|1655476342.56|wn3.localdomain
reducer|1_1|end|0.74|0.15|0.04|0.02|0.0|1228|492|0|53248|3279655|55739|300|20|317902848|453894144|207802368|3264512|0|121778176|0|311152640|314017792|0|6838|18862|36|40|0|0|0|0|0|wn3.localdomain
reducer|2_2|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6619136|0|3264512|0|761856|0|65536|101376|0|2585|8426|17|23|0|0|0|0|1655476376.44|wn3.localdomain
reducer|2_2|end|0.36|0.08|0.01|0.02|0.0|892|410|0|0|2676420|21322|256|6|249593856|322158592|175054848|3264512|0|76963840|0|243113984|245877760|0|5829|13809|30|34|0|0|0|0|0|wn3.localdomain
reducer|2_3|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6619136|0|3264512|0|761856|0|61440|97280|0|2587|8156|17|23|0|0|0|0|1655476440.37|wn1.localdomain
reducer|2_3|end|1.2|0.19|0.03|0.04|0.0|1121|492|0|53248|3279385|55739|250|23|315912192|454668288|204013568|3264512|0|122552320|0|309751808|312545280|0|6840|18190|36|38|0|0|0|0|0|wn1.localdomain
reducer|3_3|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|36864|6619136|0|3264512|0|761856|0|65536|101376|0|2453|8426|15|23|0|0|0|0|1655476435.53|wn3.localdomain
reducer|3_3|end|0.77|0.11|0.04|0.02|0.0|1162|492|0|53248|3279655|55739|276|10|317284352|453644288|207478784|3264512|0|121528320|0|310579200|313490432|0|6706|18730|34|38|0|0|0|0|0|wn3.localdomain
