function|id|phase|cpu_user|cpu_system|cpu_child_user|cpu_child_sys|iowait|io_read_count|io_write_count|io_read_bytes|io_write_bytes|io_read_chars|io_write_chars|ctx_voluntary|ctx_involuntary|mem_rss|mem_vms|mem_shared|mem_text|mem_lib|mem_data|mem_dirty|mem_uss|mem_pss|mem_swap|net_bytes_sent|net_bytes_recv|net_packets_sent|net_packets_recv|net_errin|net_errout|net_dropin|net_dropout|create_time|node
mapper|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|77824|6660096|0|3264512|0|802816|0|106496|132096|0|2381|3913|14|22|0|0|0|0|1655724629.25|wn4.localdomain
mapper|0_0|end|95.23|0.4|0.06|0.04|0.0|1159|492|0|90112|3323925|89244|268|1713|380178432|510709760|213807104|3264512|0|178356224|0|374038528|376817664|0|5621|11394|39|58|0|0|0|0|0|wn4.localdomain
mapper|10_10|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|77824|6660096|0|3264512|0|802816|0|110592|121856|0|2451|3786|15|21|0|0|0|0|1655724630.45|wn4.localdomain
mapper|10_10|end|88.78|0.44|0.08|0.02|0.0|1127|492|0|90112|3323928|89244|229|2269|380825600|510722048|214339584|3264512|0|178364416|0|170336256|273781760|0|5649|10841|39|48|0|0|0|0|0|wn4.localdomain
mapper|11_11|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|77824|6668288|0|3264512|0|811008|0|176128|201728|0|2449|3896|15|22|0|0|0|0|1655724632.14|wn6.localdomain
mapper|11_11|end|72.69|0.34|0.08|0.03|0.0|1141|492|0|90112|3323928|89244|271|1476|382418944|510705664|216088576|3264512|0|178352128|0|168480768|239651840|0|5473|10567|36|41|0|0|0|0|0|wn6.localdomain
mapper|12_12|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|77824|6660096|0|3264512|0|802816|0|110592|120832|0|2449|3896|15|22|0|0|0|0|1655724631.87|wn3.localdomain
mapper|12_12|end|72.14|0.4|0.09|0.02|0.0|1175|492|0|90112|3323928|89244|279|1435|383225856|510726144|216752128|3264512|0|178372608|0|168767488|240373760|0|5431|10525|35|40|0|0|0|0|0|wn3.localdomain
mapper|13_13|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|77824|6660096|0|3264512|0|802816|0|106496|123904|0|2385|3654|14|19|0|0|0|0|1655724630.09|wn1.localdomain
mapper|13_13|end|99.49|0.58|0.08|0.02|0.0|1140|492|0|90112|3323928|89244|234|5014|380297216|510713856|213880832|3264512|0|178348032|0|170856448|273827840|0|5625|10841|39|48|0|0|0|0|0|wn1.localdomain
mapper|14_14|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|77824|6660096|0|3264512|0|802816|0|106496|117760|0|2451|3696|15|20|0|0|0|0|1655724631.64|wn2.localdomain
mapper|14_14|end|79.51|0.43|0.06|0.03|0.0|1128|492|0|90112|3323928|89244|247|2255|379367424|510713856|213135360|3264512|0|178360320|0|167002112|237552640|0|5541|10607|37|43|0|0|0|0|0|wn2.localdomain
mapper|15_15|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|77824|6660096|0|3264512|0|802816|0|98304|98304|0|2449|3744|15|20|0|0|0|0|1655724630.28|wn5.localdomain
mapper|15_15|end|72.22|0.32|0.07|0.04|0.0|1172|494|0|98304|3323928|95981|291|3094|383135744|510775296|216469504|3264512|0|178364416|0|376602624|379443200|0|5431|10415|35|39|0|0|0|0|0|wn5.localdomain
mapper|1_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|540672|7647232|421888|3264512|0|819200|0|180224|223232|0|2379|4048|14|24|0|0|0|0|1655724631.26|wn3.localdomain
