function|id|phase|cpu_user|cpu_system|cpu_child_user|cpu_child_sys|iowait|io_read_count|io_write_count|io_read_bytes|io_write_bytes|io_read_chars|io_write_chars|ctx_voluntary|ctx_involuntary|mem_rss|mem_vms|mem_shared|mem_text|mem_lib|mem_data|mem_dirty|mem_uss|mem_pss|mem_swap|net_bytes_sent|net_bytes_recv|net_packets_sent|net_packets_recv|net_errin|net_errout|net_dropin|net_dropout|create_time|node
mapper|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|57344|6639616|0|3264512|0|782336|0|90112|122880|0|2381|3919|14|21|0|0|0|0|1655721948.23|wn1.localdomain
mapper|0_0|end|570.23|1.13|0.06|0.02|0.0|1132|494|0|98304|3323925|95979|224|11970|379756544|510746624|213147648|3264512|0|178343936|0|373284864|376098816|0|8573|13758|91|96|0|0|0|0|0|wn1.localdomain
mapper|1_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|57344|6639616|0|3264512|0|782336|0|73728|73728|0|2445|3922|15|21|0|0|0|0|1655721948.98|wn3.localdomain
mapper|1_1|end|540.77|0.99|0.06|0.02|0.0|1217|492|0|90112|3323928|89244|251|10969|382877696|510693376|216686592|3264512|0|178339840|0|376627200|379475968|0|8589|13713|92|96|0|0|0|0|0|wn3.localdomain
reducer|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|57344|6639616|0|3264512|0|782336|0|90112|117760|0|2585|8426|17|23|0|0|0|0|1655722534.99|wn5.localdomain
reducer|0_0|end|0.75|0.12|0.06|0.03|0.0|1178|492|0|53248|3278992|55739|283|13|318431232|454840320|207454208|3264512|0|122724352|0|312041472|314786816|0|6838|18133|36|39|0|0|0|0|0|wn5.localdomain
reducer|0_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|57344|6639616|0|3264512|0|782336|0|90112|125952|0|2585|8156|17|23|0|0|0|0|1655722540.64|wn6.localdomain
reducer|0_1|end|0.34|0.1|0.04|0.0|0.0|923|410|0|0|2676420|21322|268|6|241348608|316166144|173920256|3264512|0|70971392|0|234557440|237407232|0|5172|11975|29|33|0|0|0|0|0|wn6.localdomain
reducer|1_1|start|0.0|0.0|0.0|0.0|0.0|13|0|0|0|6704|0|1|0|585728|7827456|475136|3264512|0|811008|0|204800|315392|0|2453|8426|15|23|0|0|0|0|1655722504.38|wn5.localdomain
reducer|1_1|end|0.34|0.1|0.02|0.02|0.0|892|410|0|0|2676420|21322|238|8|242044928|318406656|172466176|3264512|0|73211904|0|235524096|238308352|0|5763|13212|29|35|0|0|0|0|0|wn5.localdomain
