function|id|phase|cpu_user|cpu_system|cpu_child_user|cpu_child_sys|iowait|io_read_count|io_write_count|io_read_bytes|io_write_bytes|io_read_chars|io_write_chars|ctx_voluntary|ctx_involuntary|mem_rss|mem_vms|mem_shared|mem_text|mem_lib|mem_data|mem_dirty|mem_uss|mem_pss|mem_swap|net_bytes_sent|net_bytes_recv|net_packets_sent|net_packets_recv|net_errin|net_errout|net_dropin|net_dropout|create_time|node
mapper|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|53248|6635520|0|3264512|0|778240|0|69632|69632|0|2445|3919|15|21|0|0|0|0|1655721620.9|wn3.localdomain
mapper|0_0|end|265.86|0.46|0.05|0.03|0.0|1190|492|0|90112|3323925|89244|260|4103|384274432|510656512|217886720|3264512|0|178302976|0|377667584|380641280|0|6621|11742|56|60|0|0|0|0|0|wn3.localdomain
mapper|1_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|53248|6635520|0|3264512|0|778240|0|86016|121856|0|2447|3922|15|21|0|0|0|0|1655721620.85|wn2.localdomain
mapper|1_1|end|278.35|0.61|0.06|0.03|0.0|1123|494|0|98304|3323928|95979|241|6167|381243392|510726144|214462464|3264512|0|178319360|0|374464512|377283584|0|6899|12021|62|66|0|0|0|0|0|wn2.localdomain
mapper|2_2|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|53248|6635520|0|0|0|778240|0|69632|69632|0|2445|3922|15|21|0|0|0|0|1655721621.18|wn6.localdomain
mapper|2_2|end|276.23|0.6|0.05|0.04|0.0|1176|492|0|90112|3323928|89244|298|4694|382955520|510668800|216784896|3264512|0|178315264|0|376754176|379621376|0|6687|11811|57|61|0|0|0|0|0|wn6.localdomain
mapper|3_3|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|53248|6635520|0|3264512|0|778240|0|81920|113664|0|2447|3922|15|21|0|0|0|0|1655721620.21|wn4.localdomain
mapper|3_3|end|270.76|0.63|0.05|0.03|0.0|1133|494|0|98304|3323928|95979|252|4487|380960768|510730240|214183936|3264512|0|178319360|0|374198272|377089024|0|6773|11895|59|63|0|0|0|0|0|wn4.localdomain
reducer|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|53248|6635520|0|3264512|0|778240|0|81920|109568|0|2587|8426|17|23|0|0|0|0|1655721895.19|wn1.localdomain
reducer|0_0|end|0.79|0.14|0.01|0.03|0.0|892|410|0|0|2702725|21322|221|9|271138816|338632704|183808000|3264512|0|90488832|0|264495104|267218944|0|5897|13809|31|34|0|0|0|0|0|wn1.localdomain
reducer|0_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|53248|6643712|0|3264512|0|786432|0|147456|224256|0|2587|8156|17|23|0|0|0|0|1655721913.58|wn1.localdomain
reducer|0_1|end|1.19|0.2|0.05|0.02|0.0|1127|492|0|53248|3279385|55739|231|20|318545920|457994240|204259328|3264512|0|125878272|0|312180736|314930176|0|6840|18190|36|38|0|0|0|0|0|wn1.localdomain
reducer|0_3|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|53248|6643712|0|3264512|0|786432|0|86016|130048|0|2587|8156|17|23|0|0|0|0|1655721919.87|wn2.localdomain
reducer|0_3|end|0.32|0.12|0.02|0.01|0.0|854|410|0|0|2676420|21322|218|8|219426816|301023232|166965248|3264512|0|55828480|0|212938752|215656448|0|5174|12638|29|33|0|0|0|0|0|wn2.localdomain
reducer|1_1|start|0.0|0.0|0.0|0.0|0.0|13|0|0|0|6704|0|0|1|3854336|12279808|3248128|3264512|0|2551808|0|786432|2129920|0|2587|8426|17|23|0|0|0|0|1655721907.99|wn4.localdomain
reducer|1_1|end|1.22|0.15|0.06|0.03|0.0|1144|496|0|61440|3284613|60937|241|73|324452352|462585856|205049856|3264512|0|130437120|0|317804544|320594944|0|6840|18796|36|39|0|0|0|0|0|wn4.localdomain
reducer|2_2|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|53248|6635520|0|3264512|0|778240|0|69632|69632|0|2585|8426|17|23|0|0|0|0|1655721907.66|wn5.localdomain
reducer|2_2|end|0.77|0.11|0.06|0.02|0.0|1120|490|0|45056|3266140|54708|267|28|293216256|428449792|192004096|3264512|0|113303552|0|286560256|289409024|0|6838|18730|36|38|0|0|0|0|0|wn5.localdomain
reducer|2_3|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|53248|6635520|0|3264512|0|778240|0|69632|69632|0|2585|8156|17|23|0|0|0|0|1655721913.46|wn6.localdomain
reducer|2_3|end|0.74|0.14|0.06|0.03|0.0|1145|492|0|53248|3279385|55739|259|14|314097664|451809280|206237696|3264512|0|119693312|0|307712000|310545408|0|6838|18256|36|39|0|0|0|0|0|wn6.localdomain
reducer|3_3|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|53248|6635520|0|3264512|0|778240|0|69632|69632|0|2585|8426|17|23|0|0|0|0|1655721900.56|wn3.localdomain
reducer|3_3|end|0.35|0.09|0.02|0.02|0.0|905|410|0|0|2676420|21322|258|5|257736704|326406144|180346880|3264512|0|81211392|0|251043840|253864960|0|5829|13809|30|34|0|0|0|0|0|wn3.localdomain
