function|id|phase|cpu_user|cpu_system|cpu_child_user|cpu_child_sys|iowait|io_read_count|io_write_count|io_read_bytes|io_write_bytes|io_read_chars|io_write_chars|ctx_voluntary|ctx_involuntary|mem_rss|mem_vms|mem_shared|mem_text|mem_lib|mem_data|mem_dirty|mem_uss|mem_pss|mem_swap|net_bytes_sent|net_bytes_recv|net_packets_sent|net_packets_recv|net_errin|net_errout|net_dropin|net_dropout|create_time|node
mapper|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|102400|128000|0|2447|4003|15|23|0|0|0|0|1655724165.3|wn2.localdomain
mapper|0_0|end|81.84|0.5|0.08|0.02|0.0|1063|492|0|90112|3323925|89244|189|1881|380297216|510701568|213757952|3264512|0|178335744|0|166875136|236803072|0|5537|11034|37|50|0|0|0|0|0|wn2.localdomain
mapper|10_10|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|102400|113664|0|2451|3786|15|21|0|0|0|0|1655724166.56|wn2.localdomain
mapper|10_10|end|82.89|0.48|0.06|0.02|0.0|1177|492|0|90112|3323928|89244|262|1441|379965440|510717952|213651456|3264512|0|178364416|0|166658048|271583232|0|5499|10691|36|45|0|0|0|0|0|wn2.localdomain
mapper|11_11|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|102400|113664|0|2449|3896|15|22|0|0|0|0|1655724166.52|wn6.localdomain
mapper|11_11|end|72.68|0.4|0.06|0.04|0.0|1182|492|0|90112|3323928|89244|295|1761|383488000|510717952|217260032|3264512|0|178364416|0|173174784|276645888|0|5473|10633|36|42|0|0|0|0|0|wn6.localdomain
mapper|12_12|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|102400|118784|0|2451|3744|15|20|0|0|0|0|1655724164.62|wn1.localdomain
mapper|12_12|end|103.89|0.61|0.07|0.04|0.0|1172|492|0|90112|3323928|89244|241|4430|379445248|510734336|212987904|3264512|0|178364416|0|172199936|274103296|0|5799|11159|42|55|0|0|0|0|0|wn1.localdomain
mapper|13_13|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|102400|113664|0|2451|3786|15|21|0|0|0|0|1655724165.84|wn4.localdomain
mapper|13_13|end|87.77|0.48|0.06|0.03|0.0|1140|492|0|90112|3323928|89244|244|4131|380866560|510709760|214355968|3264512|0|178348032|0|168300544|272789504|0|5583|10775|38|47|0|0|0|0|0|wn4.localdomain
mapper|14_14|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|102400|119808|0|2383|3744|14|20|0|0|0|0|1655724164.72|wn3.localdomain
mapper|14_14|end|72.11|0.41|0.07|0.04|0.0|1161|492|0|90112|3323928|89244|263|1538|383655936|510705664|217231360|3264512|0|178356224|0|172027904|276064256|0|5407|10415|35|39|0|0|0|0|0|wn3.localdomain
mapper|15_15|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|86016|86016|0|2449|3896|15|22|0|0|0|0|1655724166.55|wn5.localdomain
mapper|15_15|end|73.59|0.39|0.07|0.05|0.0|1151|492|0|90112|3323928|89244|284|1428|383135744|510705664|216846336|3264512|0|178348032|0|172433408|276017152|0|5497|10633|36|42|0|0|0|0|0|wn5.localdomain
mapper|1_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|1|69632|6651904|0|3264512|0|794624|0|102400|124928|0|2379|4048|14|24|0|0|0|0|1655724165.81|wn5.localdomain
mapper|1_1|end|75.62|0.35|0.06|0.04|0.0|1229|492|0|90112|3323928|89244|307|1150|383713280|510713856|217325568|3264512|0|178356224|0|377233408|379904000|0|5427|10869|35|46|0|0|0|0|0|wn5.localdomain
mapper|2_2|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|98304|123904|0|2447|4006|15|23|0|0|0|0|1655724164.31|wn4.localdomain
mapper|2_2|end|93.77|0.53|0.06|0.04|0.0|1153|492|0|90112|3323928|89244|259|1911|380665856|510709760|214294528|3264512|0|178356224|0|374378496|377211904|0|5687|11355|40|57|0|0|0|0|0|wn4.localdomain
mapper|3_3|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|1|69632|6651904|0|3264512|0|794624|0|90112|90112|0|2379|4006|14|23|0|0|0|0|1655724165.61|wn6.localdomain
mapper|3_3|end|73.08|0.49|0.09|0.02|0.0|1160|492|0|90112|3323928|89244|274|1528|382545920|510705664|216154112|3264512|0|178352128|0|172236800|275647488|0|5469|10827|36|45|0|0|0|0|0|wn6.localdomain
mapper|4_4|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|1|69632|6651904|0|3264512|0|794624|0|98304|114688|0|2381|3896|14|22|0|0|0|0|1655724164.85|wn4.localdomain
mapper|4_4|end|85.32|0.6|0.07|0.03|0.0|1124|492|0|90112|3323928|89244|230|1177|379359232|510693376|213057536|3264512|0|178339840|0|171278336|239759360|0|5471|10885|36|48|0|0|0|0|0|wn4.localdomain
mapper|5_5|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|0|0|794624|0|90112|90112|0|2445|3896|15|22|0|0|0|0|1655724165.88|wn5.localdomain
mapper|5_5|end|73.14|0.38|0.06|0.05|0.0|1198|492|0|90112|3323928|89244|304|1269|382898176|510713856|216399872|3264512|0|178360320|0|167444480|239055872|0|5493|10675|36|43|0|0|0|0|0|wn5.localdomain
mapper|6_6|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|98304|112640|0|2447|3786|15|21|0|0|0|0|1655724165.7|wn2.localdomain
mapper|6_6|end|83.32|0.51|0.06|0.03|0.0|1164|492|0|90112|3323928|89244|205|1414|380006400|510697472|213708800|3264512|0|178339840|0|166699008|271623168|0|5495|10733|36|46|0|0|0|0|0|wn2.localdomain
mapper|7_7|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|0|0|794624|0|90112|90112|0|2379|3744|14|20|0|0|0|0|1655724164.47|wn3.localdomain
mapper|7_7|end|72.06|0.44|0.07|0.04|0.0|1180|492|0|90112|3323928|89244|295|1567|383504384|510705664|217022464|3264512|0|178348032|0|171986944|275964928|0|5403|10457|35|40|0|0|0|0|0|wn3.localdomain
mapper|8_8|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|102400|128000|0|2381|3744|14|20|0|0|0|0|1655724164.35|wn1.localdomain
mapper|8_8|end|104.52|0.5|0.07|0.03|0.0|1157|492|0|90112|3323928|89244|205|2354|380456960|510697472|214216704|3264512|0|178339840|0|374218752|376111104|0|5687|11159|40|55|0|0|0|0|0|wn1.localdomain
mapper|9_9|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|90112|90112|0|2445|3896|15|22|0|0|0|0|1655724165.79|wn6.localdomain
mapper|9_9|end|71.18|0.37|0.07|0.04|0.0|1169|492|0|90112|3323928|89244|326|1409|384000000|510709760|217554944|3264512|0|178356224|0|169164800|240867328|0|5427|10567|35|41|0|0|0|0|0|wn6.localdomain
reducer|0_0|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|102400|130048|0|2585|8426|17|23|0|0|0|0|1655724254.57|wn6.localdomain
reducer|0_0|end|0.68|0.16|0.07|0.04|0.0|1183|489|0|40960|3260905|52662|291|13|292048896|427667456|191651840|3264512|0|112525312|0|285777920|288571392|0|6892|22855|37|40|0|0|0|0|0|wn6.localdomain
reducer|0_15|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|94208|106496|0|2457|8156|15|23|0|0|0|0|1655724300.14|wn2.localdomain
reducer|0_15|end|0.8|0.13|0.02|0.01|0.0|985|416|0|28672|3069886|37650|151|13|276144128|342757376|184504320|3264512|0|94564352|0|269205504|272057344|0|5176|16809|29|35|0|0|0|0|0|wn2.localdomain
reducer|0_1|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|0|0|794624|0|90112|90112|0|2453|7936|15|21|0|0|0|0|1655724259.05|wn3.localdomain
reducer|0_1|end|0.34|0.09|0.01|0.03|0.0|872|410|0|0|2676420|21322|247|11|241508352|317394944|173236224|3264512|0|72200192|0|234852352|237577216|0|5895|17556|31|35|0|0|0|0|0|wn3.localdomain
reducer|0_3|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|102400|145408|0|2587|8156|17|23|0|0|0|0|1655724277.97|wn2.localdomain
reducer|0_3|end|1.14|0.19|0.07|0.03|0.0|1160|492|0|53248|3283402|55739|250|22|314499072|453689344|204255232|3264512|0|121569280|0|307851264|310636544|0|6894|22273|37|39|0|0|0|0|0|wn2.localdomain
reducer|0_7|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|102400|134144|0|2585|8156|17|23|0|0|0|0|1655724283.23|wn6.localdomain
reducer|0_7|end|0.35|0.08|0.03|0.01|0.0|895|410|0|0|2676420|21322|240|11|241217536|317546496|172445696|3264512|0|72351744|0|234643456|237450240|0|6028|17778|33|37|0|0|0|0|0|wn6.localdomain
reducer|10_10|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|94208|106496|0|2457|8116|15|20|0|0|0|0|1655724256.65|wn5.localdomain
reducer|10_10|end|0.71|0.14|0.07|0.03|0.0|1166|490|0|45056|3281805|54710|267|21|298201088|445923328|196227072|3264512|0|113774592|0|291143680|294084608|0|6766|22635|35|38|0|0|0|0|0|wn5.localdomain
reducer|10_11|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|98304|115712|0|2591|7888|17|21|0|0|0|0|1655724262.26|wn2.localdomain
reducer|10_11|end|0.78|0.15|0.02|0.01|0.0|991|416|0|28672|3068910|37650|224|19|275443712|342622208|184041472|3264512|0|94429184|0|97644544|184923136|0|6033|17532|33|35|0|0|0|0|0|wn2.localdomain
reducer|11_11|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|102400|107520|0|2591|8116|17|20|0|0|0|0|1655724245.76|wn4.localdomain
reducer|11_11|end|0.77|0.16|0.01|0.02|0.0|960|415|0|28672|2991872|37133|193|33|272826368|340770816|183541760|3264512|0|92610560|0|89915392|135482368|0|6035|17764|33|34|0|0|0|0|0|wn4.localdomain
reducer|12_12|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|102400|139264|0|2459|8426|15|23|0|0|0|0|1655724277.14|wn4.localdomain
reducer|12_12|end|1.18|0.17|0.05|0.05|0.0|1164|492|0|53248|3283672|55741|236|39|316731392|455917568|204427264|3264512|0|123801600|0|310136832|312950784|0|6768|22945|35|41|0|0|0|0|0|wn4.localdomain
reducer|12_13|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|102400|138240|0|2459|8066|15|22|0|0|0|0|1655724282.84|wn1.localdomain
reducer|12_13|end|1.15|0.2|0.05|0.04|0.0|1102|492|0|53248|3283402|55741|197|21|314720256|454594560|203943936|3264512|0|122482688|0|308359168|311116800|0|6768|22339|35|40|0|0|0|0|0|wn1.localdomain
reducer|12_15|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|98304|131072|0|2459|8156|15|23|0|0|0|0|1655724289.18|wn2.localdomain
reducer|12_15|end|1.19|0.15|0.07|0.02|0.0|1146|492|0|53248|3283402|55740|253|16|315711488|455766016|203649024|3264512|0|123650048|0|309354496|312166400|0|6767|22273|35|39|0|0|0|0|0|wn2.localdomain
reducer|13_13|start|0.0|0.0|0.0|0.0|0.0|5|0|0|0|1692|0|0|0|69632|6651904|0|3264512|0|794624|0|90112|90112|0|2589|8158|17|21|0|0|0|0|1655724261.21|wn5.localdomain
reducer|13_13|end|0.37|0.07|0.02|0.02|0.0|889|410|0|0|2676420|21322|243|9|244932608|320765952|172773376|3264512|0|75571200|0|238612480|241402880|0|6033|17914|33|37|0|0|0|0|0|wn5.localdomain
